tempo;nivel
0.00;2.09
0.00;3.31
0.00;2.09
0.00;2.09
0.00;2.09
0.00;2.09
0.00;2.08
0.00;2.09
0.00;3.31
0.00;3.31
0.00;2.20
0.00;2.20
0.00;2.20
0.00;2.20
0.00;3.09
0.00;2.78
0.00;2.78
0.00;2.68
0.00;2.99
1.00;1.80
1.00;2.68
1.00;2.39
1.00;2.09
1.00;2.68
1.00;2.68
1.00;2.99
1.00;2.39
1.00;2.09
1.00;2.37
1.00;2.68
1.00;3.64
1.00;2.39
1.00;1.51
1.00;2.39
1.00;2.39
1.00;2.09
1.00;0.93
2.00;2.09
2.00;3.31
2.00;2.09
2.00;0.05
2.00;2.99
2.00;2.09
2.00;2.09
2.00;2.99
2.00;2.99
2.00;3.00
2.00;2.68
2.00;3.96
2.00;2.68
2.00;2.68
2.00;2.66
2.00;2.68
2.00;3.96
2.00;3.96
2.00;2.68
3.00;2.68
3.00;2.68
3.00;3.64
3.00;3.72
3.00;2.47
3.00;1.61
3.00;3.74
3.00;3.64
3.00;3.64
3.00;3.31
3.00;3.31
3.00;3.31
3.00;3.31
3.00;3.31
3.00;3.31
3.00;2.99
3.00;4.27
3.00;4.29
4.00;4.27
4.00;4.37
4.00;3.95
4.00;3.95
4.00;3.95
4.00;3.96
4.00;3.96
4.00;3.95
4.00;3.96
4.00;3.96
4.00;3.95
4.00;3.69
4.00;3.74
4.00;3.64
4.00;3.64
4.00;3.62
4.00;3.64
4.00;3.64
4.00;2.39
5.00;3.64
5.00;3.31
5.00;3.33
5.00;3.31
5.00;4.60
5.00;3.31
5.00;3.31
5.00;4.39
5.00;4.27
5.00;4.27
5.00;4.29
5.00;4.27
5.00;4.27
5.00;4.27
5.00;4.27
5.00;3.96
5.00;4.07
5.00;3.95
6.00;3.95
6.00;3.95
6.00;5.23
6.00;5.23
6.00;3.95
6.00;3.96
6.00;4.91
6.00;4.92
6.00;4.91
6.00;4.91
6.00;4.91
6.00;4.60
6.00;4.60
6.00;4.70
6.00;4.60
6.00;4.60
6.00;4.60
6.00;4.60
6.00;4.29
7.00;4.60
7.00;4.27
7.00;4.39
7.00;4.27
7.00;4.27
7.00;4.27
7.00;5.23
7.00;5.25
7.00;5.25
7.00;5.23
7.00;5.23
7.00;5.23
7.00;5.23
7.00;4.92
7.00;4.92
7.00;5.03
7.00;4.92
7.00;4.92
8.00;4.92
8.00;4.60
8.00;4.60
8.00;4.60
8.00;4.70
8.00;4.60
8.00;4.60
8.00;4.60
8.00;4.60
8.00;5.56
8.00;5.56
8.00;5.58
8.00;4.27
8.00;4.27
8.00;4.27
8.00;5.23
8.00;5.23
8.00;5.23
8.00;5.23
9.00;5.25
9.00;5.25
9.00;3.95
9.00;3.96
9.00;4.92
9.00;5.01
9.00;4.92
9.00;4.92
9.00;4.91
9.00;4.92
9.00;3.64
9.00;4.60
9.00;2.39
9.00;2.49
9.00;3.41
9.00;4.37
9.00;0.16
9.00;-0.14
10.00;2.39
10.00;2.39
10.00;-2.26
10.00;-2.28
10.00;3.31
10.00;3.31
10.00;2.99
10.00;3.95
10.00;0.70
10.00;2.99
10.00;2.99
10.00;3.95
10.00;3.95
10.00;3.95
10.00;3.96
10.00;3.96
10.00;3.95
10.00;3.95
11.00;3.96
11.00;3.96
11.00;3.96
11.00;3.64
11.00;3.64
11.00;3.64
11.00;4.92
11.00;4.91
11.00;5.03
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
11.00;4.60
12.00;5.56
12.00;5.56
12.00;5.56
12.00;5.56
12.00;5.56
12.00;5.56
12.00;5.25
12.00;5.23
12.00;5.23
12.00;5.23
12.00;5.25
12.00;5.25
12.00;4.91
12.00;4.91
12.00;4.92
12.00;5.03
12.00;4.92
12.00;4.92
13.00;5.88
13.00;5.88
13.00;5.88
13.00;4.60
13.00;4.60
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.56
13.00;5.58
13.00;5.25
13.00;5.25
13.00;5.23
13.00;5.23
14.00;5.25
14.00;5.23
14.00;5.23
14.00;5.23
14.00;5.23
14.00;4.92
14.00;4.92
14.00;4.91
14.00;4.92
14.00;5.01
14.00;4.91
14.00;4.92
14.00;4.91
14.00;5.87
14.00;5.87
14.00;4.60
14.00;4.60
14.00;4.60
15.00;5.88
15.00;5.56
15.00;5.56
15.00;5.58
15.00;5.56
15.00;5.56
15.00;5.56
15.00;5.56
15.00;5.56
15.00;5.56
15.00;5.23
15.00;5.23
15.00;6.52
15.00;6.45
15.00;5.23
15.00;5.23
15.00;5.25
15.00;5.25
15.00;6.21
16.00;6.21
16.00;6.21
16.00;6.19
16.00;6.21
16.00;6.19
16.00;6.21
16.00;5.88
16.00;5.88
16.00;5.88
16.00;5.88
16.00;5.88
16.00;5.88
16.00;5.88
16.00;6.84
16.00;6.84
16.00;6.84
16.00;6.84
16.00;6.84
17.00;6.84
17.00;5.56
17.00;6.52
17.00;6.52
17.00;6.42
17.00;6.52
17.00;6.54
17.00;6.52
17.00;6.54
17.00;6.42
17.00;6.21
17.00;6.21
17.00;6.19
17.00;6.21
17.00;6.19
17.00;5.88
17.00;5.88
17.00;5.88
17.00;5.88
18.00;5.88
18.00;5.88
18.00;5.88
18.00;5.88
18.00;6.84
18.00;6.84
18.00;6.84
18.00;6.84
18.00;6.84
18.00;6.84
18.00;6.84
18.00;6.74
18.00;6.52
18.00;6.52
18.00;7.80
18.00;7.80
18.00;7.80
18.00;7.80
19.00;7.80
19.00;7.72
19.00;7.48
19.00;7.50
19.00;7.48
19.00;7.50
19.00;7.50
19.00;7.48
19.00;7.48
19.00;7.48
19.00;7.48
19.00;7.48
19.00;7.48
19.00;7.17
19.00;8.46
19.00;8.46
19.00;7.07
19.00;7.17
19.00;8.13
20.00;8.13
20.00;8.13
20.00;8.13
20.00;8.13
20.00;8.01
20.00;8.15
20.00;8.13
20.00;8.13
20.00;7.80
20.00;7.80
20.00;9.09
20.00;7.80
20.00;7.80
20.00;7.80
20.00;7.80
20.00;7.82
20.00;8.77
20.00;8.77
21.00;8.77
21.00;8.78
21.00;8.78
21.00;8.77
21.00;7.50
21.00;8.44
21.00;8.46
21.00;8.44
21.00;8.46
21.00;8.34
21.00;8.46
21.00;8.44
21.00;8.13
21.00;8.13
21.00;8.13
21.00;8.13
21.00;8.13
21.00;8.13
21.00;8.13
22.00;8.99
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;9.09
22.00;8.66
22.00;8.77
22.00;8.77
22.00;8.66
22.00;8.77
22.00;8.77
22.00;8.77
23.00;8.77
23.00;8.77
23.00;8.44
23.00;8.46
23.00;8.44
23.00;8.46
23.00;8.44
23.00;8.44
23.00;8.46
23.00;8.44
23.00;9.42
23.00;9.40
23.00;9.40
23.00;9.40
23.00;9.30
23.00;9.42
23.00;9.09
23.00;8.99
23.00;9.09
24.00;9.09
24.00;8.99
24.00;9.09
24.00;9.09
24.00;9.09
24.00;9.09
24.00;9.09
24.00;9.09
24.00;9.09
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.77
24.00;8.46
25.00;8.44
25.00;9.74
25.00;9.69
25.00;9.76
25.00;9.74
25.00;8.34
25.00;8.44
25.00;9.42
25.00;9.31
25.00;9.40
25.00;9.42
25.00;9.42
25.00;9.42
25.00;9.42
25.00;9.09
25.00;9.09
25.00;8.99
25.00;9.09
26.00;9.09
26.00;8.99
26.00;9.09
26.00;9.09
26.00;9.09
26.00;9.09
26.00;9.09
26.00;9.09
26.00;10.05
26.00;9.93
26.00;10.05
26.00;10.05
26.00;9.95
26.00;8.77
26.00;8.77
26.00;8.66
26.00;8.77
26.00;9.74
26.00;9.76
27.00;9.76
27.00;9.66
27.00;9.76
27.00;9.74
27.00;9.64
27.00;9.76
27.00;9.74
27.00;9.40
27.00;9.42
27.00;9.30
27.00;9.42
27.00;9.42
27.00;9.30
27.00;10.34
27.00;10.34
27.00;10.34
27.00;10.34
27.00;10.24
28.00;9.09
28.00;9.09
28.00;8.99
28.00;9.09
28.00;9.09
28.00;9.09
28.00;9.09
28.00;10.03
28.00;10.05
28.00;10.03
28.00;9.95
28.00;10.05
28.00;10.03
28.00;8.77
28.00;8.77
28.00;9.76
28.00;9.74
28.00;9.74
28.00;9.66
29.00;9.76
29.00;9.76
29.00;9.64
29.00;8.44
29.00;9.42
29.00;9.42
29.00;9.42
29.00;9.42
29.00;9.40
29.00;9.42
29.00;9.30
29.00;9.40
29.00;10.34
29.00;10.34
29.00;10.34
29.00;10.24
29.00;10.34
29.00;10.34
30.00;10.24
30.00;9.09
30.00;9.09
30.00;8.99
30.00;9.09
30.00;9.09
30.00;10.05
30.00;10.05
30.00;9.95
30.00;10.05
30.00;10.03
30.00;9.95
30.00;8.77
30.00;8.77
30.00;8.66
30.00;9.76
30.00;9.74
30.00;9.76
30.00;9.74
31.00;9.64
31.00;10.63
31.00;10.63
31.00;9.76
31.00;9.40
31.00;9.76
31.00;10.63
31.00;9.40
31.00;9.31
31.00;9.42
31.00;9.42
31.00;9.42
31.00;10.34
31.00;10.24
31.00;10.34
31.00;9.42
31.00;10.24
31.00;9.09
32.00;9.09
32.00;9.09
32.00;9.09
32.00;9.11
32.00;9.09
32.00;8.77
32.00;8.77
32.00;10.03
32.00;8.77
32.00;8.77
32.00;7.17
32.00;8.77
32.00;8.46
32.00;9.71
32.00;8.44
32.00;8.44
32.00;8.44
32.00;1.80
32.00;9.42
33.00;9.42
33.00;9.42
33.00;8.13
33.00;9.42
33.00;9.09
33.00;9.09
33.00;10.34
33.00;9.09
33.00;7.48
33.00;7.50
33.00;10.34
33.00;9.09
33.00;9.09
33.00;9.09
33.00;10.34
33.00;8.99
33.00;9.09
33.00;10.93
34.00;8.66
34.00;9.09
34.00;9.09
34.00;7.15
34.00;7.15
34.00;10.05
34.00;9.93
34.00;8.13
34.00;8.11
34.00;7.80
34.00;8.13
34.00;8.13
34.00;5.56
34.00;7.80
34.00;9.09
34.00;8.77
34.00;9.09
