tempo;nivel;pwm
3;2.80;255.00
3;2.51;255.00
3;2.61;255.00
3;2.51;255.00
3;2.51;255.00
3;2.91;255.00
3;2.80;255.00
3;2.80;255.00
3;2.80;255.00
3;2.61;255.00
3;2.51;255.00
3;3.73;255.00
3;3.73;255.00
3;3.51;255.00
3;3.40;255.00
3;3.40;255.00
3;1.34;255.00
3;2.05;255.00
3;2.51;255.00
4;3.08;255.00
4;3.09;255.00
4;2.22;255.00
4;2.22;255.00
4;3.40;255.00
4;3.51;255.00
4;3.09;255.00
4;3.09;255.00
4;3.09;255.00
4;3.20;255.00
4;3.09;255.00
4;4.04;255.00
4;2.80;255.00
4;4.05;255.00
4;4.05;255.00
4;4.05;255.00
4;0.18;255.00
4;2.61;255.00
5;2.51;255.00
5;3.09;255.00
5;4.05;255.00
5;3.20;255.00
5;2.80;255.00
5;4.05;255.00
5;3.73;255.00
5;2.91;255.00
5;2.80;255.00
5;0.47;255.00
5;3.73;255.00
5;3.83;255.00
5;3.73;255.00
5;3.73;255.00
5;3.73;255.00
5;2.61;255.00
5;0.18;255.00
5;0.47;255.00
5;1.16;255.00
6;2.51;255.00
6;2.51;255.00
6;2.61;255.00
6;3.40;255.00
6;3.40;255.00
6;3.40;255.00
6;2.61;255.00
6;1.64;255.00
6;4.36;255.00
6;3.09;255.00
6;3.20;255.00
6;1.64;255.00
6;4.05;255.00
6;4.05;255.00
6;2.03;255.00
6;4.05;255.00
6;4.05;255.00
6;4.05;255.00
7;3.83;255.00
7;4.05;255.00
7;3.73;255.00
7;3.73;255.00
7;3.73;255.00
7;3.83;255.00
7;3.73;255.00
7;3.40;255.00
7;3.73;255.00
7;3.83;255.00
7;3.73;255.00
7;3.40;255.00
7;3.40;255.00
7;4.69;255.00
7;4.79;255.00
7;4.69;255.00
7;4.38;255.00
7;4.36;255.00
8;4.36;255.00
8;4.36;255.00
8;4.48;255.00
8;4.36;255.00
8;4.36;255.00
8;4.36;255.00
8;5.32;255.00
8;5.32;255.00
8;4.16;255.00
